linetype	xmin	xmax	showSelected1	showSelected3	PANEL	group
0	118173.358	118176.231	0	correct	2	1
0	118176.442	118181.782	0	correct	2	1
0	118173.358	118176.231	1	correct	2	1
0	118176.442	118181.782	1	correct	2	1
0	118173.358	118176.231	2	correct	2	1
0	118176.442	118181.782	2	correct	2	1
0	118173.358	118176.231	3	correct	2	1
0	118176.442	118181.782	3	correct	2	1
1	118173.358	118176.231	4	false positive	2	3
1	118176.442	118181.782	4	false positive	2	3
0	118173.358	118176.231	0	correct	3	1
0	118176.442	118181.782	0	correct	3	1
0	118173.358	118176.231	1	correct	3	1
0	118176.442	118181.782	1	correct	3	1
0	118173.358	118176.231	2	correct	3	1
0	118176.442	118181.782	2	correct	3	1
1	118173.358	118176.231	3	false positive	3	3
1	118176.442	118181.782	3	false positive	3	3
1	118173.358	118176.231	4	false positive	3	3
1	118176.442	118181.782	4	false positive	3	3
3	118173.358	118176.231	0	false negative	4	2
3	118176.442	118181.782	0	false negative	4	2
0	118173.358	118176.231	1	correct	4	1
0	118176.442	118181.782	1	correct	4	1
0	118173.358	118176.231	2	correct	4	1
0	118176.442	118181.782	2	correct	4	1
0	118173.358	118176.231	3	correct	4	1
0	118176.442	118181.782	3	correct	4	1
0	118173.358	118176.231	4	correct	4	1
0	118176.442	118181.782	4	correct	4	1
3	118173.358	118176.231	0	false negative	5	2
3	118176.442	118181.782	0	false negative	5	2
3	118173.358	118176.231	1	false negative	5	2
3	118176.442	118181.782	1	false negative	5	2
0	118173.358	118176.231	2	correct	5	1
0	118176.442	118181.782	2	correct	5	1
0	118173.358	118176.231	3	correct	5	1
0	118176.442	118181.782	3	correct	5	1
0	118173.358	118176.231	4	correct	5	1
0	118176.442	118181.782	4	correct	5	1
