linetype	xmin	xmax	showSelected1	showSelected3	PANEL	group
0	118214.653	118215.916	0	correct	2	1
0	118214.653	118215.916	1	correct	2	1
0	118214.653	118215.916	2	correct	2	1
1	118214.653	118215.916	3	false positive	2	3
1	118214.653	118215.916	4	false positive	2	3
0	118214.653	118215.916	0	correct	3	1
0	118214.653	118215.916	1	correct	3	1
0	118214.653	118215.916	2	correct	3	1
0	118214.653	118215.916	3	correct	3	1
1	118214.653	118215.916	4	false positive	3	3
3	118214.653	118215.916	0	false negative	4	2
0	118214.653	118215.916	1	correct	4	1
0	118214.653	118215.916	2	correct	4	1
0	118214.653	118215.916	3	correct	4	1
0	118214.653	118215.916	4	correct	4	1
3	118214.653	118215.916	0	false negative	5	2
3	118214.653	118215.916	1	false negative	5	2
0	118214.653	118215.916	2	correct	5	1
0	118214.653	118215.916	3	correct	5	1
0	118214.653	118215.916	4	correct	5	1
