linetype	xmin	xmax	showSelected1	showSelected3	PANEL	group
3	118229.419	118230.534	0	false negative	2	2
3	118230.778	118232.881	0	false negative	2	2
3	118229.419	118230.534	1	false negative	2	2
3	118230.778	118232.881	1	false negative	2	2
0	118229.419	118230.534	2	correct	2	1
0	118230.778	118232.881	2	correct	2	1
0	118229.419	118230.534	3	correct	2	1
0	118230.778	118232.881	3	correct	2	1
0	118229.419	118230.534	4	correct	2	1
0	118230.778	118232.881	4	correct	2	1
3	118229.419	118230.534	0	false negative	3	2
3	118230.778	118232.881	0	false negative	3	2
3	118229.419	118230.534	1	false negative	3	2
3	118230.778	118232.881	1	false negative	3	2
3	118229.419	118230.534	2	false negative	3	2
3	118230.778	118232.881	2	false negative	3	2
3	118229.419	118230.534	3	false negative	3	2
3	118230.778	118232.881	3	false negative	3	2
0	118229.419	118230.534	4	correct	3	1
0	118230.778	118232.881	4	correct	3	1
3	118229.419	118230.534	0	false negative	4	2
3	118230.778	118232.881	0	false negative	4	2
0	118229.419	118230.534	1	correct	4	1
0	118230.778	118232.881	1	correct	4	1
0	118229.419	118230.534	2	correct	4	1
0	118230.778	118232.881	2	correct	4	1
0	118229.419	118230.534	3	correct	4	1
0	118230.778	118232.881	3	correct	4	1
0	118229.419	118230.534	4	correct	4	1
0	118230.778	118232.881	4	correct	4	1
3	118229.419	118230.534	0	false negative	5	2
3	118230.778	118232.881	0	false negative	5	2
3	118229.419	118230.534	1	false negative	5	2
3	118230.778	118232.881	1	false negative	5	2
3	118229.419	118230.534	2	false negative	5	2
3	118230.778	118232.881	2	false negative	5	2
0	118229.419	118230.534	3	correct	5	1
0	118230.778	118232.881	3	correct	5	1
0	118229.419	118230.534	4	correct	5	1
0	118230.778	118232.881	4	correct	5	1
