linetype	xmin	xmax	showSelected1	showSelected3	PANEL	group
0	118222.047	118228.604	0	correct	2	1
0	118222.047	118228.604	1	correct	2	1
0	118222.047	118228.604	2	correct	2	1
0	118222.047	118228.604	3	correct	2	1
0	118222.047	118228.604	4	correct	2	1
0	118222.047	118228.604	0	correct	3	1
0	118222.047	118228.604	1	correct	3	1
0	118222.047	118228.604	2	correct	3	1
0	118222.047	118228.604	3	correct	3	1
0	118222.047	118228.604	4	correct	3	1
0	118222.047	118228.604	0	correct	4	1
0	118222.047	118228.604	1	correct	4	1
0	118222.047	118228.604	2	correct	4	1
0	118222.047	118228.604	3	correct	4	1
0	118222.047	118228.604	4	correct	4	1
0	118222.047	118228.604	0	correct	5	1
0	118222.047	118228.604	1	correct	5	1
0	118222.047	118228.604	2	correct	5	1
0	118222.047	118228.604	3	correct	5	1
0	118222.047	118228.604	4	correct	5	1
